🚀 Training with 1 GPUs (DDP)
Per-GPU batch size: 4
Gradient accumulation steps: 64
Total effective batch size: 256
Device: cuda:0
Loading training dataset from wikipedia-50/train
Final Vocab Size: 181
Phoneme vocab size: 181
Pruned BPE vocab size: 24734
Training dataset size: 599058
Step 5600/1000000 | Loss: 8.4726 | LR: 8.70e-10 | MLM: 3.0656 | CTC: 5.4070
Step 5700/1000000 | Loss: 8.4743 | LR: 8.90e-10 | MLM: 3.1351 | CTC: 5.3392
Step 5800/1000000 | Loss: 8.2011 | LR: 9.00e-10 | MLM: 2.9559 | CTC: 5.2452
Step 5900/1000000 | Loss: 8.1570 | LR: 9.20e-10 | MLM: 3.0572 | CTC: 5.0998
Step 6000/1000000 | Loss: 7.8129 | LR: 9.30e-10 | MLM: 2.8610 | CTC: 4.9520
Step 6100/1000000 | Loss: 8.0116 | LR: 9.50e-10 | MLM: 3.0620 | CTC: 4.9496
Step 6200/1000000 | Loss: 8.2665 | LR: 9.60e-10 | MLM: 3.2074 | CTC: 5.0592
Step 6300/1000000 | Loss: 9.3574 | LR: 9.80e-10 | MLM: 2.7475 | CTC: 6.6099
Step 6400/1000000 | Loss: 8.7839 | LR: 1.00e-09 | MLM: 3.2215 | CTC: 5.5624
Step 6500/1000000 | Loss: 8.4987 | LR: 1.01e-09 | MLM: 3.3120 | CTC: 5.1867
Step 6600/1000000 | Loss: 8.2593 | LR: 1.03e-09 | MLM: 3.0548 | CTC: 5.2045
Step 6700/1000000 | Loss: 8.0016 | LR: 1.04e-09 | MLM: 2.8835 | CTC: 5.1180
Step 6800/1000000 | Loss: 8.0358 | LR: 1.06e-09 | MLM: 3.1731 | CTC: 4.8628
Step 6900/1000000 | Loss: 7.7650 | LR: 1.07e-09 | MLM: 2.8789 | CTC: 4.8861
Step 7000/1000000 | Loss: 7.6958 | LR: 1.09e-09 | MLM: 3.0615 | CTC: 4.6343
Step 7100/1000000 | Loss: 7.4271 | LR: 1.10e-09 | MLM: 2.6953 | CTC: 4.7319
Step 7200/1000000 | Loss: 7.1285 | LR: 1.12e-09 | MLM: 2.6780 | CTC: 4.4504
Step 7300/1000000 | Loss: 7.8899 | LR: 1.14e-09 | MLM: 3.1643 | CTC: 4.7256
Step 7400/1000000 | Loss: 7.4045 | LR: 1.15e-09 | MLM: 2.9890 | CTC: 4.4155
Step 7500/1000000 | Loss: 7.3536 | LR: 1.17e-09 | MLM: 2.8787 | CTC: 4.4749
Step 7600/1000000 | Loss: 7.6750 | LR: 1.18e-09 | MLM: 3.0251 | CTC: 4.6499
Step 7700/1000000 | Loss: 6.6955 | LR: 1.20e-09 | MLM: 2.8205 | CTC: 3.8750
Step 7800/1000000 | Loss: 6.6008 | LR: 1.21e-09 | MLM: 3.0838 | CTC: 3.5170
Step 7900/1000000 | Loss: 7.1356 | LR: 1.23e-09 | MLM: 3.1302 | CTC: 4.0053
Step 8000/1000000 | Loss: 6.9422 | LR: 1.25e-09 | MLM: 2.9833 | CTC: 3.9588
Step 8100/1000000 | Loss: 6.9995 | LR: 1.26e-09 | MLM: 3.0321 | CTC: 3.9674
Step 8200/1000000 | Loss: 6.6192 | LR: 1.28e-09 | MLM: 2.8126 | CTC: 3.8066
Step 8300/1000000 | Loss: 7.0721 | LR: 1.29e-09 | MLM: 2.8959 | CTC: 4.1763
Step 8400/1000000 | Loss: 6.8721 | LR: 1.31e-09 | MLM: 3.0192 | CTC: 3.8529
